12.854,1,15.315168,1,13.484
3.998,0,3.2655754,0,3.89
4.204,0,3.4300113,0,4.066
54.808,1,56.857784,1,58.67
2.528,0,0.5582583,0,1.638
4.198,0,2.6771631,0,3.278
5.91,0,5.1022906,0,5.886
5.478,0,3.72656,0,4.67
5.124,0,3.5964203,0,4.31
8.738,1,8.040789,0,9.472
10.196,0,9.123481,0,9.716
34.354,1,40.46222,1,35.232
3.202,1,2.5267227,0,3.96
10.602,1,12.411624,1,11.328
14.046,1,17.448948,1,14.674
11.304,1,10.807307,0,11.582
9.834,1,11.332066,1,9.838
16.966,1,18.40277,1,17.2
4.93,1,4.3266063,0,5.126
8.21,1,8.103687,0,8.582
8.056,0,7.678814,0,7.74
13.108,0,12.082008,0,10.732
9.13,0,8.838147,0,9.094
19.82,0,19.570087,0,18.388
8.27,0,6.798372,0,7.492
14.172,1,19.519445,1,15.792
3.936,0,3.5111508,0,3.894
8.086,0,6.1954904,0,7.8
3.896,0,3.693924,0,3.58
7.65,0,7.290596,0,6.454
10.346,1,12.17953,1,11.114
