2011,4,SH.600017,20120427,20111231,0.032443409,0.037340844,3.25E-05,4.39E-05,0.000922361,0.063149435,0.030399878,0.222143478,0.280771451,0.275036718
2012,4,SH.600017,20130330,20121231,0.017513902,0.021045654,3.49E-05,5.90E-05,0.005253112,0.068694379,0.034553205,0.226088331,0.28090977,0.262795914
2008,4,SH.600018,20090403,20081231,0.026167018,0.029773249,2.31E-05,1.87E-05,0.003137796,0.04888902,0.021354215,0.224162105,0.276820496,0.263660804
2009,4,SH.600018,20100327,20091231,0.027943788,0.033308474,2.19E-05,1.88E-05,0.000158903,0.050583799,0.022953008,0.221950327,0.274562,0.266418676
2010,4,SH.600018,20110421,20101231,0.025151718,0.030049438,2.56E-05,2.71E-05,0.000182232,0.053126995,0.023907951,0.226215461,0.282674907,0.266171379
2011,4,SH.600018,20120328,20111231,0.024528693,0.028834203,2.75E-05,2.93E-05,0.000318952,0.057681892,0.027996301,0.223489103,0.280881505,0.270288245
2012,4,SH.600018,20130327,20121231,0.025474767,0.026679923,3.60E-05,2.35E-05,0.00044214,0.059280408,0.029325935,0.224070997,0.280137159,0.26457331
2013,4,SH.600018,20140328,20131231,0.01940605,0.02085232,3.92E-05,1.59E-05,0.002580194,0.060889195,0.029847567,0.224750674,0.282356132,0.260799787
2017,4,SH.600018,20180328,20171231,0.028936014,0.018145661,4.33E-05,3.93E-06,0.001379845,0.07499829,0.047160969,0.239168319,0.283239529,0.277262184
2014,4,SH.600023,20150409,20141231,0.031081985,0.0342199,2.66E-05,2.92E-05,0.001515936,0.091106793,0.068471601,0.239495569,0.294597226,0.277979629
2015,4,SH.600023,20160409,20151231,0.029166764,0.032977047,2.24E-05,3.11E-05,0.000233178,0.097206565,0.05917702,0.239986067,0.295815162,0.260913461
2016,4,SH.600023,20170408,20161231,0.03532778,0.03932941,2.26E-05,3.47E-05,0.000197945,0.100112989,0.060434833,0.237207703,0.29706097,0.273889501
2017,4,SH.600023,20180411,20171231,0.028059163,0.030739912,2.87E-05,4.30E-05,0.000279356,0.103079496,0.064511376,0.229490797,0.291029966,0.258561801
2008,4,SH.600026,20090318,20081231,0.038004478,0.042643687,8.31E-05,9.69E-05,0.0006443,0.12366941,0.068373118,0.297538563,0.316444241,0.273410701
